TEMP,CITY,HUMIDITY,WIND_SPEED,TIME,WIND_DIR,PRESSURE_MB
25,Bangalore,65.00000,7.20000,2025-11-17T08:51:38.580860,ENE,1017.00000
-1,Delhi,83.00000,17.70000,2025-11-17T08:51:39.197631,WNW,1008.00000
18,Sikkim,55.00000,4.50000,2025-11-17T08:51:42.489745,SSW,1018.00000
31,Mumbai,27.00000,2.20000,2025-11-17T08:51:39.597794,N,1013.00000
21,Kerela,42.00000,2.20000,2025-11-17T08:51:41.648093,SW,1015.00000
26,Chennai,84.00000,20.10000,2025-11-17T08:51:39.999129,N,1011.00000
27,Hyderabad,28.00000,8.50000,2025-11-17T08:51:42.081873,NE,1017.00000
